season,league,league_name,matches,avg_goals,avg_home_goals,avg_away_goals,home_win_pct,draw_pct,away_win_pct,tier
2023,BL1,Bundesliga,306,3.219,1.807,1.412,43.8,26.5,29.7,1
2023,CL,Champions League,125,3.144,1.792,1.352,48.0,20.8,31.2,2
2023,FL1,Ligue 1,306,2.699,1.448,1.252,39.2,26.5,34.3,1
2023,PD,La Liga,380,2.645,1.484,1.161,43.9,28.2,27.9,1
2023,PL,Premier League,380,3.279,1.8,1.479,46.1,21.6,32.4,1
2023,SA,Serie A,380,2.611,1.434,1.176,41.8,29.5,28.7,1
2024,BL1,Bundesliga,305,3.138,1.636,1.502,38.7,25.2,36.1,1
2024,CL,Champions League,189,3.328,1.873,1.455,50.8,13.8,35.4,2
2024,FL1,Ligue 1,305,2.98,1.613,1.367,46.9,20.3,32.8,1
2024,PD,La Liga,380,2.618,1.453,1.166,44.5,25.5,30.0,1
2024,PL,Premier League,380,2.934,1.513,1.421,40.8,24.5,34.7,1
2024,SA,Serie A,380,2.561,1.339,1.221,39.7,28.4,31.8,1
