season,league,league_name,team,gp,wins,draws,losses,goals_for,goals_against,goal_diff,points
2023,BL1,Bundesliga,1. FC Köln,34,5,12,17,28,60,-32,27
2023,BL1,Bundesliga,Augsburg,34,10,9,15,50,60,-10,39
2023,BL1,Bundesliga,Bayern,34,23,3,8,94,45,49,72
2023,BL1,Bundesliga,Bochum,34,7,12,15,42,74,-32,33
2023,BL1,Bundesliga,Bremen,34,11,9,14,48,54,-6,42
2023,BL1,Bundesliga,Darmstadt,34,3,8,23,30,86,-56,17
2023,BL1,Bundesliga,Dortmund,34,18,9,7,68,43,25,63
2023,BL1,Bundesliga,Frankfurt,34,11,14,9,51,50,1,47
2023,BL1,Bundesliga,Freiburg,34,11,9,14,45,58,-13,42
2023,BL1,Bundesliga,Heidenheim,34,10,12,12,50,55,-5,42
2023,BL1,Bundesliga,Hoffenheim,34,13,7,14,66,66,0,46
2023,BL1,Bundesliga,Leverkusen,34,28,6,0,89,24,65,90
2023,BL1,Bundesliga,M'gladbach,34,7,13,14,56,67,-11,34
2023,BL1,Bundesliga,Mainz,34,7,14,13,39,51,-12,35
2023,BL1,Bundesliga,RB Leipzig,34,19,8,7,77,39,38,65
2023,BL1,Bundesliga,Stuttgart,34,23,4,7,78,39,39,73
2023,BL1,Bundesliga,Union Berlin,34,9,6,19,33,58,-25,33
2023,BL1,Bundesliga,Wolfsburg,34,10,7,17,41,56,-15,37
2023,CL,Champions League,Antwerp FC,6,1,0,5,6,17,-11,3
2023,CL,Champions League,Arsenal,10,5,2,3,23,10,13,17
2023,CL,Champions League,Atleti,10,6,2,2,26,15,11,20
2023,CL,Champions League,Barça,10,6,1,3,20,14,6,19
2023,CL,Champions League,Bayern,12,7,3,2,21,13,8,24
2023,CL,Champions League,Braga,6,1,1,4,6,12,-6,4
2023,CL,Champions League,Celtic,6,1,1,4,5,15,-10,4
2023,CL,Champions League,Crvena Zvedza,6,0,1,5,7,15,-8,1
2023,CL,Champions League,Dortmund,13,7,3,3,17,11,6,24
2023,CL,Champions League,Feyenoord,6,2,0,4,9,10,-1,6
2023,CL,Champions League,Galatasaray,6,1,2,3,10,13,-3,5
2023,CL,Champions League,Inter,8,4,3,1,12,10,2,15
2023,CL,Champions League,København,8,2,2,4,10,14,-4,8
2023,CL,Champions League,Lazio,8,4,1,3,8,10,-2,13
2023,CL,Champions League,Man City,10,8,1,1,31,17,14,25
2023,CL,Champions League,Man United,6,1,1,4,12,15,-3,4
2023,CL,Champions League,Milan,6,2,2,2,5,8,-3,8
2023,CL,Champions League,Napoli,8,3,2,3,12,13,-1,11
2023,CL,Champions League,Newcastle,6,1,2,3,6,7,-1,5
2023,CL,Champions League,PSG,12,5,2,5,19,15,4,17
2023,CL,Champions League,PSV,8,2,4,2,9,13,-4,10
2023,CL,Champions League,Porto,8,5,0,3,18,13,5,15
2023,CL,Champions League,RB Leipzig,8,4,1,3,14,12,2,13
2023,CL,Champions League,RB Salzburg,6,1,1,4,4,8,-4,4
2023,CL,Champions League,RC Lens,6,2,2,2,6,11,-5,8
2023,CL,Champions League,Real Madrid,13,10,3,0,32,18,14,33
2023,CL,Champions League,Real Sociedad,8,3,3,2,8,6,2,12
2023,CL,Champions League,SL Benfica,6,1,1,4,7,11,-4,4
2023,CL,Champions League,Sevilla FC,6,0,2,4,7,12,-5,2
2023,CL,Champions League,Shaktar,6,3,0,3,10,12,-2,9
2023,CL,Champions League,Union Berlin,6,0,2,4,6,10,-4,2
2023,CL,Champions League,Young Boys,6,1,1,4,7,13,-6,4
2023,FL1,Ligue 1,Brest,34,17,10,7,53,34,19,61
2023,FL1,Ligue 1,Clermont Foot,34,5,10,19,26,60,-34,25
2023,FL1,Ligue 1,FC Metz,34,8,5,21,35,58,-23,29
2023,FL1,Ligue 1,Le Havre,34,7,11,16,34,45,-11,32
2023,FL1,Ligue 1,Lille,34,16,11,7,52,34,18,59
2023,FL1,Ligue 1,Lorient,34,7,8,19,43,66,-23,29
2023,FL1,Ligue 1,Marseille,34,13,11,10,52,41,11,50
2023,FL1,Ligue 1,Monaco,34,20,7,7,68,42,26,67
2023,FL1,Ligue 1,Montpellier,34,10,12,12,43,48,-5,42
2023,FL1,Ligue 1,Nantes,34,9,6,19,30,55,-25,33
2023,FL1,Ligue 1,Nice,34,15,10,9,40,29,11,55
2023,FL1,Ligue 1,Olympique Lyon,34,16,5,13,49,55,-6,53
2023,FL1,Ligue 1,PSG,34,22,10,2,81,33,48,76
2023,FL1,Ligue 1,RC Lens,34,14,9,11,45,37,8,51
2023,FL1,Ligue 1,Stade Rennais,34,12,10,12,53,46,7,46
2023,FL1,Ligue 1,Stade de Reims,34,13,8,13,42,47,-5,47
2023,FL1,Ligue 1,Strasbourg,34,10,9,15,38,50,-12,39
2023,FL1,Ligue 1,Toulouse,34,11,10,13,42,46,-4,43
2023,PD,La Liga,Alavés,38,12,10,16,36,46,-10,46
