date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2021-08-13,Borussia M.Gladbach,Bayern Munich,1.988,2.918,1,1
2021-08-14,Arminia Bielefeld,Freiburg,0.575,1.637,0,0
2021-08-14,Augsburg,Hoffenheim,0.735,3.444,0,4
2021-08-14,VfB Stuttgart,Greuther Fuerth,4.26,1.315,5,1
2021-08-14,Union Berlin,Bayer Leverkusen,0.444,0.794,1,1
2021-08-14,Wolfsburg,Bochum,2.788,0.298,1,0
2021-08-14,Borussia Dortmund,Eintracht Frankfurt,2.838,1.367,5,2
2021-08-15,Mainz 05,RasenBallsport Leipzig,1.271,0.842,1,0
2021-08-15,FC Cologne,Hertha Berlin,1.626,2.108,3,1
2021-08-20,RasenBallsport Leipzig,VfB Stuttgart,2.866,0.959,4,0
2021-08-21,Greuther Fuerth,Arminia Bielefeld,2.577,0.764,1,1
2021-08-21,Bochum,Mainz 05,1.053,0.817,2,0
2021-08-21,Hertha Berlin,Wolfsburg,1.174,0.558,1,2
2021-08-21,Freiburg,Borussia Dortmund,1.584,1.496,2,1
2021-08-21,Eintracht Frankfurt,Augsburg,1.33,0.166,0,0
2021-08-21,Bayer Leverkusen,Borussia M.Gladbach,1.946,1.661,4,0
2021-08-22,Hoffenheim,Union Berlin,0.967,2.351,2,2
2021-08-22,Bayern Munich,FC Cologne,3.08,0.958,3,2
2021-08-27,Borussia Dortmund,Hoffenheim,3.408,2.425,3,2
2021-08-28,FC Cologne,Bochum,2.911,0.721,2,1
2021-08-28,Arminia Bielefeld,Eintracht Frankfurt,0.627,1.786,1,1
2021-08-28,Augsburg,Bayer Leverkusen,1.694,2.121,1,4
2021-08-28,Mainz 05,Greuther Fuerth,2.795,0.304,3,0
2021-08-28,VfB Stuttgart,Freiburg,2.281,1.362,2,3
2021-08-28,Bayern Munich,Hertha Berlin,4.255,0.576,5,0
2021-08-29,Union Berlin,Borussia M.Gladbach,1.563,1.528,2,1
2021-08-29,Wolfsburg,RasenBallsport Leipzig,1.112,1.439,1,0
2021-09-11,Greuther Fuerth,Wolfsburg,0.393,1.443,0,2
2021-09-11,Hoffenheim,Mainz 05,0.51,0.933,0,2
2021-09-11,Freiburg,FC Cologne,0.872,1.502,1,1
2021-09-11,Union Berlin,Augsburg,1.715,0.832,0,0
2021-09-11,Bayer Leverkusen,Borussia Dortmund,0.471,2.292,3,4
2021-09-11,RasenBallsport Leipzig,Bayern Munich,0.348,4.301,1,4
2021-09-12,Eintracht Frankfurt,VfB Stuttgart,1.468,1.236,1,1
2021-09-12,Bochum,Hertha Berlin,1.027,0.605,1,3
2021-09-12,Borussia M.Gladbach,Arminia Bielefeld,2.129,1.532,3,1
2021-09-17,Hertha Berlin,Greuther Fuerth,1.591,1.553,2,1
2021-09-18,Augsburg,Borussia M.Gladbach,0.495,0.746,1,0
2021-09-18,Mainz 05,Freiburg,1.262,0.364,0,0
2021-09-18,Arminia Bielefeld,Hoffenheim,1.005,1.541,0,0
2021-09-18,Bayern Munich,Bochum,6.882,1.233,7,0
2021-09-18,FC Cologne,RasenBallsport Leipzig,1.689,2.037,1,1
2021-09-19,VfB Stuttgart,Bayer Leverkusen,1.417,1.593,1,3
2021-09-19,Borussia Dortmund,Union Berlin,1.099,1.732,4,2
2021-09-19,Wolfsburg,Eintracht Frankfurt,1.85,0.281,1,1
2021-09-24,Greuther Fuerth,Bayern Munich,0.656,0.678,1,3
2021-09-25,Union Berlin,Arminia Bielefeld,1.253,0.436,1,0
2021-09-25,Bayer Leverkusen,Mainz 05,1.45,0.93,1,0
2021-09-25,Eintracht Frankfurt,FC Cologne,0.951,1.11,1,1
2021-09-25,RasenBallsport Leipzig,Hertha Berlin,4.251,0.341,6,0
2021-09-25,Hoffenheim,Wolfsburg,1.786,0.505,3,1
2021-09-25,Borussia M.Gladbach,Borussia Dortmund,1.655,0.569,1,0
2021-09-26,Bochum,VfB Stuttgart,0.926,0.294,0,0
2021-09-26,Freiburg,Augsburg,3.971,0.192,3,0
