date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2022-08-05,Eintracht Frankfurt,Bayern Munich,0.756,4.56,1,6,0.756176,4.56023,31.846153846153847,8.173913043478262
2022-08-06,Union Berlin,Hertha Berlin,1.183,0.351,3,1,1.18263,0.350984,5.9743589743589745,15.833333333333334
2022-08-06,Borussia M.Gladbach,Hoffenheim,2.075,0.119,3,1,2.07456,0.119138,9.961538461538462,18.8
2022-08-06,Wolfsburg,Werder Bremen,0.955,1.042,2,2,0.954909,1.04228,4.324324324324325,8.970588235294118
2022-08-06,Bochum,Mainz 05,0.818,1.594,1,2,0.818183,1.59439,6.84,16.61904761904762
2022-08-06,Augsburg,Freiburg,0.586,1.543,0,4,0.585905,1.54255,6.666666666666667,9.916666666666666
2022-08-06,Borussia Dortmund,Bayer Leverkusen,2.383,1.236,1,0,2.38349,1.23566,9.1,9.0
2022-08-07,VfB Stuttgart,RasenBallsport Leipzig,0.565,2.132,1,1,0.565488,2.13153,14.0,5.392857142857143
2022-08-07,FC Cologne,Schalke 04,4.422,0.228,3,1,4.42242,0.227735,4.333333333333333,21.666666666666668
2022-08-12,Freiburg,Borussia Dortmund,1.083,0.782,1,3,1.0831,0.781529,11.392857142857142,8.0
2022-08-13,Bayer Leverkusen,Augsburg,2.784,0.749,1,2,2.7843,0.749163,3.652173913043478,10.148148148148149
2022-08-13,RasenBallsport Leipzig,FC Cologne,1.179,1.516,2,2,1.17885,1.51583,13.9375,8.419354838709678
2022-08-13,Werder Bremen,VfB Stuttgart,0.704,1.316,2,2,0.704357,1.31637,10.652173913043478,17.1
2022-08-13,Hoffenheim,Bochum,2.376,1.474,3,2,1.61833,1.47438,9.333333333333334,20.75
2022-08-13,Hertha Berlin,Eintracht Frankfurt,2.065,1.204,1,1,2.06497,1.20421,21.142857142857142,5.6
2022-08-13,Schalke 04,Borussia M.Gladbach,1.693,1.411,2,2,0.935466,1.41135,17.130434782608695,16.25
2022-08-14,Mainz 05,Union Berlin,0.649,0.301,0,0,0.648549,0.301432,10.952380952380953,12.789473684210526
2022-08-14,Bayern Munich,Wolfsburg,1.402,0.443,2,0,1.4017,0.443318,9.214285714285714,13.37037037037037
2022-08-19,Borussia M.Gladbach,Hertha Berlin,2.266,0.968,1,0,0.750195,0.967668,9.7,18.68421052631579
2022-08-20,Wolfsburg,Schalke 04,1.206,1.033,0,0,1.20648,0.275186,6.294117647058823,16.095238095238095
2022-08-20,Augsburg,Mainz 05,0.306,2.046,1,2,0.306368,1.28831,10.31578947368421,7.5
2022-08-20,VfB Stuttgart,Freiburg,0.767,0.904,0,1,0.766656,0.903953,14.266666666666667,18.157894736842106
2022-08-20,Borussia Dortmund,Werder Bremen,0.626,1.201,2,3,0.625547,1.20064,8.458333333333334,10.625
2022-08-20,Bayer Leverkusen,Hoffenheim,1.101,1.301,0,3,1.10143,1.30099,6.78125,11.166666666666666
2022-08-20,Union Berlin,RasenBallsport Leipzig,0.642,0.959,2,1,0.642263,0.958767,24.15,5.428571428571429
2022-08-21,Eintracht Frankfurt,FC Cologne,0.54,0.236,1,1,0.54009,0.236472,6.714285714285714,8.84
2022-08-21,Bochum,Bayern Munich,0.748,3.981,0,7,0.747624,3.22344,17.22222222222222,7.157894736842105
2022-08-26,Freiburg,Bochum,4.409,1.13,1,0,3.56356,1.13013,8.125,7.9
2022-08-27,RasenBallsport Leipzig,Wolfsburg,3.792,0.52,2,0,3.03475,0.520425,13.565217391304348,7.214285714285714
2022-08-27,Mainz 05,Bayer Leverkusen,1.62,1.404,0,3,1.62032,1.40426,18.25,22.266666666666666
2022-08-27,Hoffenheim,Augsburg,2.002,0.459,1,0,2.00234,0.458737,8.0,10.761904761904763
2022-08-27,Hertha Berlin,Borussia Dortmund,0.353,2.974,0,1,0.353045,2.97427,29.25,7.071428571428571
2022-08-27,Schalke 04,Union Berlin,1.866,1.065,1,6,1.10838,1.0651,13.76923076923077,20.8
2022-08-27,Bayern Munich,Borussia M.Gladbach,3.174,0.548,1,1,3.17378,0.548057,6.04,31.555555555555557
2022-08-28,FC Cologne,VfB Stuttgart,0.386,1.965,0,0,0.385951,1.96538,7.105263157894737,18.642857142857142
2022-08-28,Werder Bremen,Eintracht Frankfurt,1.889,1.873,3,4,1.1314,1.87305,8.181818181818182,9.379310344827585
2022-09-02,Borussia Dortmund,Hoffenheim,2.521,0.36,1,0,2.521,0.360446,14.526315789473685,8.428571428571429
2022-09-03,Bayer Leverkusen,Freiburg,1.797,2.354,2,3,1.79727,2.35383,16.823529411764707,9.24
2022-09-03,Union Berlin,Bayern Munich,0.443,1.382,1,1,0.443137,1.38204,18.476190476190474,5.625
2022-09-03,VfB Stuttgart,Schalke 04,0.706,2.105,1,1,0.706188,2.10477,11.727272727272727,6.5
2022-09-03,Wolfsburg,FC Cologne,0.967,3.084,2,4,0.96728,2.32588,10.952380952380953,10.647058823529411
2022-09-03,Bochum,Werder Bremen,1.23,1.99,0,2,1.22972,1.23253,6.5,12.461538461538462
2022-09-03,Eintracht Frankfurt,RasenBallsport Leipzig,3.626,0.22,4,0,2.86847,0.220403,11.096774193548388,9.24
2022-09-04,Augsburg,Hertha Berlin,0.311,2.872,0,2,0.311026,2.87153,13.1875,6.551724137931035
2022-09-04,Borussia M.Gladbach,Mainz 05,1.708,0.631,0,1,1.70822,0.630863,18.454545454545453,10.4
2022-09-09,Werder Bremen,Augsburg,1.837,1.782,0,1,1.07925,1.7824,4.684210526315789,14.142857142857142
2022-09-10,Bayern Munich,VfB Stuttgart,2.298,1.188,2,2,2.2976,0.429761,4.457142857142857,20.88888888888889
2022-09-10,RasenBallsport Leipzig,Borussia Dortmund,1.705,0.335,3,0,1.70495,0.334567,9.161290322580646,8.0
2022-09-10,Hoffenheim,Mainz 05,4.649,1.086,4,1,3.89113,1.08619,8.473684210526315,21.1875
2022-09-10,Eintracht Frankfurt,Wolfsburg,0.453,0.97,0,1,0.453438,0.969737,9.473684210526315,19.176470588235293
2022-09-10,Hertha Berlin,Bayer Leverkusen,2.351,1.768,2,2,2.35137,1.76829,11.565217391304348,8.428571428571429
2022-09-10,Schalke 04,Bochum,1.413,1.313,3,1,1.4133,1.31293,9.904761904761905,9.105263157894736
