date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2021-08-06,Monaco,Nantes,1.769,0.24,1,1,1.76899,0.239715,3.9642857142857144,26.0
2021-08-07,Lyon,Brest,1.175,1.02,1,1,1.17521,1.01966,8.31578947368421,30.0
2021-08-07,Troyes,Paris Saint Germain,0.618,1.487,1,2,0.618173,1.48651,66.8,10.76923076923077
2021-08-08,Rennes,Lens,0.598,2.136,1,1,0.598423,2.13637,7.481481481481482,16.761904761904763
2021-08-08,Saint-Etienne,Lorient,1.858,0.836,1,1,1.09787,0.835981,7.916666666666667,12.615384615384615
2021-08-08,Strasbourg,Angers,0.267,1.416,0,2,0.267011,1.41617,8.185185185185185,11.36
2021-08-08,Bordeaux,Clermont Foot,0.511,2.957,0,2,0.510543,2.95652,10.727272727272727,14.0
2021-08-08,Nice,Reims,1.099,0.158,0,0,1.09947,0.158446,6.741935483870968,16.80952380952381
2021-08-08,Metz,Lille,1.021,1.622,3,3,1.02062,1.62245,12.875,7.636363636363637
2021-08-08,Montpellier,Marseille,0.765,2.158,2,3,0.764726,2.15797,13.0,10.68421052631579
2021-08-13,Lorient,Monaco,0.779,0.865,1,0,0.0193635,0.86536,13.2,2.425531914893617
2021-08-14,Lille,Nice,0.769,2.337,0,4,0.768573,1.57685,10.0,19.31578947368421
2021-08-14,Paris Saint Germain,Strasbourg,2.9,0.57,4,2,2.90032,0.570058,12.705882352941176,18.916666666666668
2021-08-15,Angers,Lyon,1.642,0.977,3,0,1.6418,0.977124,11.241379310344827,5.828571428571428
2021-08-15,Brest,Rennes,2.299,1.322,1,1,2.2991,1.32152,20.166666666666668,6.1923076923076925
2021-08-15,Clermont Foot,Troyes,1.443,0.696,2,0,1.44309,0.696005,13.2,32.46153846153846
2021-08-15,Nantes,Metz,1.722,0.885,2,0,1.7221,0.885265,13.777777777777779,5.6521739130434785
2021-08-15,Reims,Montpellier,1.308,2.0,3,3,1.30758,1.9999,8.681818181818182,11.80952380952381
2021-08-15,Lens,Saint-Etienne,1.145,0.852,2,2,1.1447,0.85171,5.351351351351352,9.387096774193548
2021-08-15,Marseille,Bordeaux,1.053,0.318,2,2,1.05273,0.318288,16.692307692307693,17.192307692307693
2021-08-20,Brest,Paris Saint Germain,1.249,1.515,2,4,1.24868,1.51499,34.642857142857146,8.055555555555555
2021-08-21,Monaco,Lens,0.242,0.599,0,2,0.241985,0.598613,6.0476190476190474,13.333333333333334
2021-08-21,Saint-Etienne,Lille,0.477,1.197,1,1,0.476794,1.1966,8.233333333333333,11.454545454545455
2021-08-22,Lyon,Clermont Foot,3.319,1.821,3,3,2.55855,1.82093,8.647058823529411,14.818181818181818
2021-08-22,Metz,Reims,0.67,1.184,1,1,0.670048,1.18358,8.11111111111111,13.409090909090908
2021-08-22,Bordeaux,Angers,0.603,1.013,1,1,0.603119,1.01295,7.348837209302325,22.666666666666668
2021-08-22,Strasbourg,Troyes,2.955,1.145,1,1,2.95463,1.14502,7.483870967741935,16.25
2021-08-22,Montpellier,Lorient,3.649,0.462,3,1,3.64876,0.462326,9.73913043478261,20.333333333333332
2021-08-22,Rennes,Nantes,0.87,0.264,1,0,0.869605,0.264197,9.375,18.944444444444443
2021-08-27,Nantes,Lyon,1.354,1.441,0,1,1.35394,1.44128,19.1,6.363636363636363
2021-08-28,Nice,Bordeaux,2.528,0.867,4,0,1.76758,0.867457,9.25,15.0
2021-08-28,Marseille,Saint-Etienne,2.737,1.228,3,1,2.73701,1.22779,9.19047619047619,12.411764705882353
2021-08-29,Troyes,Monaco,0.589,1.741,1,2,0.589287,1.74073,8.371428571428572,7.53125
2021-08-29,Strasbourg,Brest,1.227,0.593,3,1,1.22705,0.592574,13.380952380952381,12.904761904761905
2021-08-29,Angers,Rennes,2.632,1.287,2,0,2.63179,1.28738,15.842105263157896,24.5
2021-08-29,Clermont Foot,Metz,1.645,1.903,2,2,1.64521,1.14256,11.8125,10.09375
2021-08-29,Lens,Lorient,1.139,1.216,2,2,1.13941,1.2163,10.434782608695652,10.666666666666666
2021-08-29,Lille,Montpellier,2.464,0.719,2,1,2.46405,0.719288,9.52,8.5
2021-08-29,Reims,Paris Saint Germain,0.827,1.825,0,2,0.826608,1.82461,16.11111111111111,5.764705882352941
2021-09-10,Lorient,Lille,1.085,1.518,2,1,1.08464,0.757971,19.142857142857142,15.0
2021-09-11,Paris Saint Germain,Clermont Foot,2.506,1.035,4,0,2.50575,1.0353,10.4375,12.0
2021-09-11,Monaco,Marseille,0.891,1.361,0,2,0.890728,1.36062,8.878787878787879,17.75
2021-09-12,Montpellier,Saint-Etienne,1.09,0.862,2,0,1.08969,0.861648,7.62962962962963,5.038461538461538
2021-09-12,Rennes,Reims,0.806,0.871,0,2,0.805521,0.871123,6.791666666666667,16.157894736842106
2021-09-12,Bordeaux,Lens,1.008,3.125,2,3,1.00806,2.36444,12.578947368421053,16.35
2021-09-12,Brest,Angers,1.48,0.998,1,1,0.719713,0.238233,10.147058823529411,13.333333333333334
2021-09-12,Metz,Troyes,0.781,0.867,0,2,0.781252,0.86724,6.65625,16.869565217391305
2021-09-12,Nantes,Nice,2.157,2.453,0,2,2.1566,2.45276,10.666666666666666,13.6875
2021-09-12,Lyon,Strasbourg,1.699,2.045,3,1,1.69926,1.28471,12.733333333333333,15.681818181818182
2021-09-17,Strasbourg,Metz,2.047,0.612,3,0,1.28709,0.612439,8.96551724137931,7.9
2021-09-18,Lens,Lille,0.487,1.21,1,0,0.486611,1.20992,12.5,20.181818181818183
2021-09-18,Saint-Etienne,Bordeaux,1.754,2.368,1,2,1.75367,2.36783,5.147058823529412,9.083333333333334
2021-09-19,Nice,Monaco,1.945,2.591,2,2,1.18454,1.83103,14.631578947368421,14.789473684210526
2021-09-19,Troyes,Montpellier,0.489,0.25,1,1,0.489047,0.249763,14.217391304347826,7.689655172413793
2021-09-19,Angers,Nantes,0.609,2.599,1,4,0.609027,1.83877,7.368421052631579,13.444444444444445
2021-09-19,Clermont Foot,Brest,0.792,0.657,1,1,0.792314,0.657165,19.0,11.31578947368421
2021-09-19,Reims,Lorient,0.978,0.175,0,0,0.977907,0.174553,13.25,6.75
2021-09-19,Marseille,Rennes,2.214,1.061,2,0,2.21352,1.06105,13.0,11.62962962962963
2021-09-19,Paris Saint Germain,Lyon,2.23,0.823,2,1,1.46962,0.822779,8.21875,12.708333333333334
2021-09-22,Monaco,Saint-Etienne,1.738,0.326,3,1,0.978241,0.325508,4.195121951219512,12.652173913043478
2021-09-22,Montpellier,Bordeaux,1.685,1.269,3,3,1.68484,1.269,8.620689655172415,14.789473684210526
2021-09-22,Nantes,Brest,1.664,0.564,3,1,1.66414,0.563562,13.521739130434783,16.083333333333332
2021-09-22,Rennes,Clermont Foot,3.15,0.38,6,0,3.15024,0.379902,7.878787878787879,27.25
2021-09-22,Lille,Reims,1.185,1.175,2,1,1.18526,0.415308,7.0,12.882352941176471
2021-09-22,Lens,Strasbourg,2.684,1.095,0,1,2.68397,1.09537,11.88,32.69230769230769
2021-09-22,Angers,Marseille,0.47,0.494,0,0,0.470168,0.494217,15.777777777777779,11.653846153846153
2021-09-22,Lyon,Troyes,2.472,0.944,3,1,2.47231,0.943884,10.625,21.9
2021-09-22,Metz,Paris Saint Germain,0.761,1.147,1,2,0.761431,1.14719,23.166666666666668,6.0
2021-09-22,Lorient,Nice,0.619,2.169,1,0,0.619405,1.40907,12.6,5.615384615384615
2021-09-25,Saint-Etienne,Nice,0.663,3.177,0,3,0.663428,3.17651,5.612903225806452,10.73913043478261
2021-09-25,Strasbourg,Lille,0.496,2.586,1,2,0.495724,1.82589,8.217391304347826,14.210526315789474
2021-09-25,Lyon,Lorient,0.843,0.535,1,1,0.843214,0.53504,12.619047619047619,35.75
2021-09-25,Paris Saint Germain,Montpellier,2.584,0.275,2,0,2.58386,0.274573,6.585365853658536,25.583333333333332
2021-09-26,Bordeaux,Rennes,0.602,1.781,1,1,0.601971,1.78121,11.380952380952381,6.172413793103448
2021-09-26,Brest,Metz,1.668,0.669,1,2,0.907917,0.668594,5.285714285714286,11.291666666666666
2021-09-26,Reims,Nantes,1.231,0.769,3,1,1.23068,0.768528,11.7,8.130434782608695
2021-09-26,Troyes,Angers,1.26,1.285,1,1,1.25966,0.524863,15.73913043478261,8.916666666666666
2021-09-26,Clermont Foot,Monaco,1.309,1.792,1,3,1.30935,1.79185,14.263157894736842,17.263157894736842
2021-09-26,Marseille,Lens,2.02,2.49,2,3,1.25949,1.7298,13.823529411764707,18.095238095238095
2021-10-01,Lens,Reims,2.364,0.086,2,0,1.60393,0.086376,9.827586206896552,20.80952380952381
