date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-08-05,Lyon,Ajaccio,1.857,1.139,2,1
2022-08-06,Strasbourg,Monaco,1.391,2.48,1,2
2022-08-06,Clermont Foot,Paris Saint Germain,0.195,4.119,0,5
2022-08-07,Toulouse,Nice,1.854,0.699,1,1
2022-08-07,Lille,Auxerre,1.3,0.77,4,1
2022-08-07,Montpellier,Troyes,1.578,1.843,3,2
2022-08-07,Angers,Nantes,1.916,1.147,0,0
2022-08-07,Lens,Brest,3.317,1.042,3,2
2022-08-07,Rennes,Lorient,1.405,0.706,0,1
2022-08-07,Marseille,Reims,2.77,0.676,4,1
2022-08-12,Nantes,Lille,2.08,2.534,1,1
2022-08-13,Monaco,Rennes,2.395,2.025,1,1
2022-08-13,Paris Saint Germain,Montpellier,3.339,0.778,5,2
2022-08-14,Ajaccio,Lens,0.707,1.028,0,0
2022-08-14,Auxerre,Angers,0.899,1.655,2,2
2022-08-14,Reims,Clermont Foot,2.654,1.567,2,4
2022-08-14,Troyes,Toulouse,0.925,2.077,0,3
2022-08-14,Nice,Strasbourg,1.51,1.572,1,1
2022-08-14,Brest,Marseille,1.641,1.31,1,1
2022-08-19,Lyon,Troyes,3.546,0.948,4,1
2022-08-20,Monaco,Lens,2.279,2.458,1,4
2022-08-20,Marseille,Nantes,1.717,2.358,2,1
2022-08-21,Strasbourg,Reims,1.446,2.035,1,1
2022-08-21,Angers,Brest,1.053,2.227,1,3
2022-08-21,Clermont Foot,Nice,0.712,1.631,1,0
2022-08-21,Montpellier,Auxerre,0.603,1.292,1,2
2022-08-21,Toulouse,Lorient,2.48,2.966,2,2
2022-08-21,Rennes,Ajaccio,0.98,1.443,2,1
2022-08-21,Lille,Paris Saint Germain,1.503,4.37,1,7
2022-08-26,Ajaccio,Lille,0.513,1.806,1,3
2022-08-27,Auxerre,Strasbourg,0.77,1.655,1,0
2022-08-27,Lens,Rennes,1.158,0.888,2,1
2022-08-28,Nantes,Toulouse,1.804,0.531,3,1
2022-08-28,Lorient,Clermont Foot,3.466,0.433,2,1
2022-08-28,Nice,Marseille,0.797,1.414,0,3
2022-08-28,Brest,Montpellier,0.163,2.207,0,7
2022-08-28,Troyes,Angers,2.232,1.001,3,1
2022-08-28,Reims,Lyon,0.889,1.371,1,1
2022-08-28,Paris Saint Germain,Monaco,2.716,0.238,1,1
2022-08-31,Monaco,Troyes,1.695,2.684,2,4
2022-08-31,Angers,Reims,1.434,2.352,2,4
2022-08-31,Montpellier,Ajaccio,1.824,0.894,2,0
2022-08-31,Lyon,Auxerre,3.339,0.411,2,1
2022-08-31,Strasbourg,Nantes,0.26,0.582,1,1
2022-08-31,Lille,Nice,0.936,1.544,1,2
2022-08-31,Marseille,Clermont Foot,2.509,0.164,1,0
2022-08-31,Lens,Lorient,3.011,1.449,5,2
2022-08-31,Rennes,Brest,1.443,0.266,3,1
2022-08-31,Toulouse,Paris Saint Germain,0.583,3.936,0,3
2022-09-03,Auxerre,Marseille,0.623,1.544,0,2
2022-09-03,Lyon,Angers,1.409,0.685,5,0
2022-09-03,Nantes,Paris Saint Germain,0.414,3.499,0,3
2022-09-04,Montpellier,Lille,0.46,1.282,1,3
2022-09-04,Ajaccio,Lorient,0.52,0.509,0,1
2022-09-04,Clermont Foot,Toulouse,1.507,1.448,2,0
2022-09-04,Brest,Strasbourg,0.727,2.653,1,1
2022-09-04,Reims,Lens,1.759,2.234,1,1
2022-09-04,Troyes,Rennes,0.565,2.61,1,1
2022-09-04,Nice,Monaco,1.129,1.166,0,1
2022-09-07,Lorient,Lyon,1.488,2.298,3,1
2022-09-09,Lens,Troyes,1.448,0.674,1,0
2022-09-10,Paris Saint Germain,Brest,2.013,1.344,1,0
2022-09-10,Marseille,Lille,2.257,0.775,2,1
2022-09-11,Strasbourg,Clermont Foot,2.605,0.959,0,0
2022-09-11,Ajaccio,Nice,0.428,1.05,0,1
2022-09-11,Angers,Montpellier,2.913,1.026,2,1
2022-09-11,Lorient,Nantes,1.303,0.587,3,2
2022-09-11,Toulouse,Reims,2.111,0.461,1,0
2022-09-11,Rennes,Auxerre,3.734,0.439,5,0
2022-09-11,Monaco,Lyon,1.649,2.281,2,1
2022-09-16,Auxerre,Lorient,2.273,3.489,1,3
