date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2021-08-13,Brentford,Arsenal,1.888,1.024,2,0
2021-08-14,Manchester United,Leeds,1.642,0.568,5,1
2021-08-14,Burnley,Brighton,1.795,1.685,1,2
2021-08-14,Chelsea,Crystal Palace,1.187,0.322,3,0
2021-08-14,Everton,Southampton,2.389,0.581,3,1
2021-08-14,Leicester,Wolverhampton Wanderers,0.668,1.327,1,0
2021-08-14,Watford,Aston Villa,1.35,1.137,3,2
2021-08-14,Norwich,Liverpool,1.333,1.787,0,3
2021-08-15,Newcastle United,West Ham,1.679,3.009,2,4
2021-08-15,Tottenham,Manchester City,1.06,2.106,1,0
2021-08-21,Liverpool,Burnley,2.639,0.69,2,0
2021-08-21,Manchester City,Norwich,2.439,0.025,5,0
2021-08-21,Aston Villa,Newcastle United,1.184,0.632,2,0
2021-08-21,Crystal Palace,Brentford,0.606,0.712,0,0
2021-08-21,Leeds,Everton,0.966,1.857,2,2
2021-08-21,Brighton,Watford,1.779,0.407,2,0
2021-08-22,Southampton,Manchester United,0.588,2.262,1,1
2021-08-22,Wolverhampton Wanderers,Tottenham,1.511,1.726,0,1
2021-08-22,Arsenal,Chelsea,0.63,3.641,0,2
2021-08-23,West Ham,Leicester,2.286,0.627,4,1
2021-08-28,Manchester City,Arsenal,4.473,0.117,5,0
2021-08-28,Newcastle United,Southampton,1.191,3.46,2,2
2021-08-28,Norwich,Leicester,1.441,1.274,1,2
2021-08-28,Aston Villa,Brentford,0.431,1.133,1,1
2021-08-28,Brighton,Everton,0.702,1.549,0,2
2021-08-28,West Ham,Crystal Palace,1.447,1.677,2,2
2021-08-28,Liverpool,Chelsea,2.085,0.574,1,1
2021-08-29,Burnley,Leeds,1.711,1.521,1,1
2021-08-29,Tottenham,Watford,0.921,0.596,1,0
2021-08-29,Wolverhampton Wanderers,Manchester United,1.796,0.944,0,1
2021-09-11,Crystal Palace,Tottenham,2.894,0.078,3,0
2021-09-11,Arsenal,Norwich,2.685,0.577,1,0
2021-09-11,Brentford,Brighton,0.73,0.288,0,1
2021-09-11,Leicester,Manchester City,0.8,2.751,0,1
2021-09-11,Manchester United,Newcastle United,2.773,0.622,4,1
2021-09-11,Southampton,West Ham,0.692,0.725,0,0
2021-09-11,Watford,Wolverhampton Wanderers,0.185,2.559,0,2
2021-09-11,Chelsea,Aston Villa,1.222,1.173,3,0
2021-09-12,Leeds,Liverpool,0.653,4.402,0,3
2021-09-13,Everton,Burnley,1.804,1.821,3,1
2021-09-17,Newcastle United,Leeds,1.177,1.43,1,1
2021-09-18,Wolverhampton Wanderers,Brentford,1.023,2.327,0,2
2021-09-18,Norwich,Watford,0.783,2.425,1,3
2021-09-18,Burnley,Arsenal,0.776,1.099,0,1
2021-09-18,Liverpool,Crystal Palace,2.768,0.644,3,0
2021-09-18,Manchester City,Southampton,1.225,0.491,0,0
2021-09-18,Aston Villa,Everton,0.778,0.755,3,0
2021-09-19,Brighton,Leicester,1.474,1.254,2,1
2021-09-19,West Ham,Manchester United,1.667,1.895,1,2
2021-09-19,Tottenham,Chelsea,0.706,2.587,0,3
2021-09-25,Chelsea,Manchester City,0.194,1.692,0,1
2021-09-25,Manchester United,Aston Villa,1.925,1.572,0,1
2021-09-25,Watford,Newcastle United,0.904,2.523,1,1
2021-09-25,Everton,Norwich,2.267,0.801,2,0
2021-09-25,Leeds,West Ham,1.197,1.99,1,2
2021-09-25,Leicester,Burnley,2.162,0.429,2,2
2021-09-25,Brentford,Liverpool,2.941,2.257,3,3
2021-09-26,Southampton,Wolverhampton Wanderers,0.909,0.91,0,1
2021-09-26,Arsenal,Tottenham,1.445,0.98,3,1
2021-09-27,Crystal Palace,Brighton,1.368,0.65,1,1
2021-10-02,Manchester United,Everton,1.05,1.322,1,1
2021-10-02,Burnley,Norwich,0.585,0.674,0,0
2021-10-02,Chelsea,Southampton,3.792,1.526,3,1
2021-10-02,Leeds,Watford,1.574,0.193,1,0
2021-10-02,Wolverhampton Wanderers,Newcastle United,1.158,0.865,2,1
2021-10-02,Brighton,Arsenal,1.116,0.364,0,0
2021-10-03,Crystal Palace,Leicester,1.17,1.043,2,2
2021-10-03,Tottenham,Aston Villa,1.782,1.074,2,1
2021-10-03,West Ham,Brentford,1.373,1.301,1,2
2021-10-03,Liverpool,Manchester City,0.949,1.043,2,2
2021-10-16,Watford,Liverpool,0.302,3.656,0,5
2021-10-16,Aston Villa,Wolverhampton Wanderers,1.213,2.196,2,3
2021-10-16,Leicester,Manchester United,2.966,1.025,4,2
2021-10-16,Manchester City,Burnley,2.157,1.077,2,0
2021-10-16,Norwich,Brighton,1.161,1.176,0,0
2021-10-16,Southampton,Leeds,1.831,0.446,1,0
2021-10-16,Brentford,Chelsea,1.622,0.248,0,1
2021-10-17,Everton,West Ham,0.854,2.03,0,1
2021-10-17,Newcastle United,Tottenham,0.646,1.55,2,3
2021-10-18,Arsenal,Crystal Palace,1.744,0.492,2,2
2021-10-22,Arsenal,Aston Villa,3.498,1.411,3,1
2021-10-23,Chelsea,Norwich,3.105,0.267,7,0
2021-10-23,Crystal Palace,Newcastle United,2.256,0.722,1,1
2021-10-23,Everton,Watford,1.841,3.103,2,5
2021-10-23,Leeds,Wolverhampton Wanderers,1.713,0.859,1,1
2021-10-23,Southampton,Burnley,1.426,0.673,2,2
2021-10-23,Brighton,Manchester City,1.169,3.574,1,4
2021-10-24,Brentford,Leicester,1.168,1.003,1,2
2021-10-24,West Ham,Tottenham,1.735,0.672,1,0
2021-10-24,Manchester United,Liverpool,1.356,4.048,0,5
2021-10-30,Leicester,Arsenal,1.988,1.103,0,2
2021-10-30,Burnley,Brentford,2.729,0.834,3,1
2021-10-30,Liverpool,Brighton,1.398,1.51,2,2
2021-10-30,Manchester City,Crystal Palace,0.657,1.05,0,2
2021-10-30,Newcastle United,Chelsea,0.158,2.166,0,3
2021-10-30,Watford,Southampton,0.853,1.908,0,1
2021-10-30,Tottenham,Manchester United,1.158,1.386,0,3
2021-10-31,Norwich,Leeds,0.662,1.169,1,2
2021-10-31,Aston Villa,West Ham,0.688,2.664,1,4
2021-11-01,Wolverhampton Wanderers,Everton,1.693,1.698,2,1
2021-11-05,Southampton,Aston Villa,0.898,0.536,1,0
2021-11-06,Manchester United,Manchester City,0.76,2.042,0,2
2021-11-06,Brentford,Norwich,2.792,1.158,1,2
2021-11-06,Chelsea,Burnley,3.006,0.674,1,1
2021-11-06,Crystal Palace,Wolverhampton Wanderers,2.652,0.254,2,0
2021-11-06,Brighton,Newcastle United,1.431,0.227,1,1
2021-11-07,Arsenal,Watford,1.492,0.492,1,0
2021-11-07,Everton,Tottenham,0.598,0.802,0,0
2021-11-07,Leeds,Leicester,1.966,0.795,1,1
2021-11-07,West Ham,Liverpool,1.253,1.456,3,2
2021-11-20,Leicester,Chelsea,0.5,2.572,0,3
2021-11-20,Aston Villa,Brighton,1.069,0.583,2,0
2021-11-20,Burnley,Crystal Palace,1.042,1.748,3,3
2021-11-20,Newcastle United,Brentford,2.184,1.233,3,3
2021-11-20,Norwich,Southampton,0.438,1.131,2,1
2021-11-20,Watford,Manchester United,2.734,1.668,4,1
2021-11-20,Wolverhampton Wanderers,West Ham,1.319,0.436,1,0
2021-11-20,Liverpool,Arsenal,3.974,0.268,4,0
2021-11-21,Manchester City,Everton,2.613,0.267,3,0
2021-11-21,Tottenham,Leeds,2.317,1.467,2,1
2021-11-27,Arsenal,Newcastle United,2.845,0.185,2,0
2021-11-27,Crystal Palace,Aston Villa,0.962,0.454,1,2
2021-11-27,Liverpool,Southampton,3.073,0.966,4,0
2021-11-27,Norwich,Wolverhampton Wanderers,1.405,0.297,0,0
2021-11-27,Brighton,Leeds,1.905,0.865,0,0
2021-11-28,Brentford,Everton,1.198,0.968,1,0
2021-11-28,Leicester,Watford,2.16,2.384,4,2
2021-11-28,Manchester City,West Ham,2.722,0.172,2,1
