date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2023-08-11,Burnley,Manchester City,0.311,2.401,0,3,0.311032,2.40074,33.07142857142857,15.8
2023-08-12,Arsenal,Nottingham Forest,0.843,0.966,2,1,0.84262,0.966305,4.0,44.1
2023-08-12,Bournemouth,West Ham,1.51,1.483,1,1,1.51025,1.4834,5.111111111111111,9.733333333333333
2023-08-12,Brighton,Luton,4.367,1.886,4,1,3.60631,1.12477,6.875,23.0625
2023-08-12,Everton,Fulham,2.59,1.581,0,1,2.59001,1.58144,14.826086956521738,17.4
2023-08-12,Sheffield United,Crystal Palace,0.423,2.276,0,1,0.422704,2.27616,14.181818181818182,4.391304347826087
2023-08-12,Newcastle United,Aston Villa,4.322,1.486,5,1,4.32208,1.486,15.0,11.571428571428571
2023-08-13,Brentford,Tottenham,1.908,1.453,2,2,1.1464,1.45316,14.1,5.870967741935484
2023-08-13,Chelsea,Liverpool,1.933,1.3,1,1,1.93258,1.29994,8.947368421052632,20.047619047619047
2023-08-14,Manchester United,Wolverhampton Wanderers,1.971,1.722,1,0,1.97087,1.72228,7.28125,13.5
2023-08-18,Nottingham Forest,Sheffield United,1.372,0.551,2,1,1.37181,0.551038,15.866666666666667,12.526315789473685
2023-08-19,Wolverhampton Wanderers,Brighton,2.688,3.156,1,4,2.68821,3.15562,13.625,7.514285714285714
2023-08-19,Fulham,Brentford,0.4,3.469,0,3,0.399899,2.70772,10.478260869565217,12.789473684210526
2023-08-19,Liverpool,Bournemouth,3.254,1.387,3,1,2.33406,1.3867,7.260869565217392,11.125
2023-08-19,Tottenham,Manchester United,2.539,2.446,2,0,2.53904,2.44604,9.85,12.52
2023-08-19,Manchester City,Newcastle United,1.225,0.257,1,0,1.22528,0.257154,13.619047619047619,15.518518518518519
2023-08-20,Aston Villa,Everton,3.243,0.721,4,0,2.48219,0.721465,17.0,16.73913043478261
2023-08-20,West Ham,Chelsea,1.712,1.609,3,1,0.951168,0.847993,27.0,5.2727272727272725
2023-08-21,Crystal Palace,Arsenal,1.069,2.206,0,1,1.06916,1.4448,14.375,9.6
2023-08-25,Chelsea,Luton,3.414,0.466,3,0,3.41419,0.465741,7.1,19.130434782608695
2023-08-26,Bournemouth,Tottenham,0.484,2.261,0,2,0.483582,2.26115,10.193548387096774,7.6923076923076925
2023-08-26,Arsenal,Fulham,3.231,0.85,2,2,2.46971,0.849817,8.0,35.55555555555556
2023-08-26,Brentford,Crystal Palace,0.948,1.061,1,1,0.948011,1.06061,6.4,12.72
2023-08-26,Everton,Wolverhampton Wanderers,1.898,1.402,0,1,1.89792,1.40228,13.041666666666666,10.210526315789474
2023-08-26,Manchester United,Nottingham Forest,3.028,0.96,3,2,2.26686,0.960354,8.421052631578947,19.846153846153847
2023-08-26,Brighton,West Ham,1.374,2.953,1,3,1.3743,2.9527,3.8095238095238093,28.3
2023-08-27,Burnley,Aston Villa,0.631,2.837,1,3,0.630605,2.83691,8.193548387096774,24.333333333333332
2023-08-27,Sheffield United,Manchester City,0.762,3.848,1,2,0.762232,3.08687,36.90909090909091,6.571428571428571
2023-08-27,Newcastle United,Liverpool,1.62,0.856,1,2,1.62037,0.856121,10.80952380952381,16.08695652173913
2023-09-01,Luton,West Ham,2.022,1.225,1,2,2.02244,1.22528,21.3125,6.869565217391305
2023-09-02,Sheffield United,Everton,1.575,2.739,2,2,1.575,2.73871,12.8,8.653846153846153
2023-09-02,Manchester City,Fulham,2.002,1.464,5,1,1.24035,1.46427,7.964285714285714,24.5
2023-09-02,Brentford,Bournemouth,3.072,2.11,2,2,3.07185,2.11013,5.708333333333333,14.0
2023-09-02,Burnley,Tottenham,1.666,2.398,2,5,1.66604,2.39785,8.368421052631579,12.318181818181818
2023-09-02,Chelsea,Nottingham Forest,2.284,1.151,0,1,2.28442,1.1505,6.2105263157894735,19.27777777777778
2023-09-02,Brighton,Newcastle United,1.323,0.905,3,1,1.32258,0.90476,10.11111111111111,12.0
2023-09-03,Crystal Palace,Wolverhampton Wanderers,2.329,1.139,3,2,2.32935,1.13911,11.84,6.586206896551724
2023-09-03,Liverpool,Aston Villa,2.731,0.616,3,0,2.73138,0.615503,8.551724137931034,67.875
2023-09-03,Arsenal,Manchester United,1.91,0.966,3,1,1.90973,0.966109,19.4375,26.1
2023-09-16,Wolverhampton Wanderers,Liverpool,0.539,2.827,1,3,0.538833,2.82701,18.363636363636363,10.0
2023-09-16,Tottenham,Sheffield United,2.159,0.791,2,1,2.15909,0.790655,4.75,14.571428571428571
2023-09-16,West Ham,Manchester City,0.896,4.15,1,3,0.895632,4.15046,42.25,11.4
2023-09-16,Aston Villa,Crystal Palace,2.315,1.117,3,1,1.55401,1.11696,4.548387096774194,9.533333333333333
2023-09-16,Fulham,Luton,1.757,1.457,1,0,1.75704,1.45705,6.611111111111111,38.916666666666664
2023-09-16,Manchester United,Brighton,0.72,1.939,1,3,0.719951,1.93908,22.47826086956522,13.136363636363637
2023-09-16,Newcastle United,Brentford,1.501,0.634,1,0,0.740091,0.633678,7.6521739130434785,7.962962962962963
2023-09-17,Bournemouth,Chelsea,1.325,1.397,0,0,1.32515,1.39677,16.333333333333332,5.714285714285714
2023-09-17,Everton,Arsenal,0.283,0.803,0,1,0.28317,0.802605,23.764705882352942,7.0
2023-09-18,Nottingham Forest,Burnley,0.706,0.808,1,1,0.705795,0.807651,15.25,9.0
2023-09-23,Luton,Wolverhampton Wanderers,2.241,0.763,1,1,1.47984,0.762984,6.821428571428571,12.4
2023-09-23,Manchester City,Nottingham Forest,1.34,0.729,2,0,1.33984,0.729109,21.0,14.157894736842104
2023-09-23,Crystal Palace,Fulham,0.372,0.543,0,0,0.37236,0.542678,14.055555555555555,9.166666666666666
2023-09-23,Brentford,Everton,1.574,2.515,1,3,1.57402,2.51497,14.0,14.36
2023-09-23,Burnley,Manchester United,0.935,0.84,0,1,0.935444,0.840273,17.923076923076923,20.842105263157894
