date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2023-08-19,Empoli,Verona,0.845,0.691,0,1,0.844727,0.690842,10.166666666666666,6.695652173913044
2023-08-19,Frosinone,Napoli,0.871,1.315,1,3,0.109858,1.31464,20.785714285714285,11.1
2023-08-19,Inter,Monza,2.495,0.581,2,0,2.49549,0.581247,17.666666666666668,14.11111111111111
2023-08-19,Genoa,Fiorentina,0.797,1.12,1,4,0.79732,1.1197,16.08,10.1875
2023-08-20,Roma,Salernitana,2.006,0.364,2,2,2.00607,0.364297,7.125,22.25
2023-08-20,Sassuolo,Atalanta,0.381,1.501,0,2,0.381264,1.50058,12.363636363636363,11.153846153846153
2023-08-20,Udinese,Juventus,1.21,1.864,0,3,1.20988,1.10308,12.952380952380953,19.23076923076923
2023-08-20,Lecce,Lazio,1.754,2.222,2,1,1.75411,2.22215,15.714285714285714,9.96
2023-08-21,Torino,Cagliari,1.031,0.443,0,0,1.03099,0.443184,13.76923076923077,11.208333333333334
2023-08-21,Bologna,AC Milan,1.173,1.148,0,2,1.17349,1.1479,13.391304347826088,28.416666666666668
2023-08-26,Frosinone,Atalanta,0.761,1.442,2,1,0.760807,1.44199,16.095238095238095,7.407407407407407
2023-08-26,Monza,Empoli,2.047,1.138,2,0,2.0469,1.13824,9.36,18.214285714285715
2023-08-26,AC Milan,Torino,3.253,0.563,4,1,1.73017,0.563184,12.8125,15.619047619047619
2023-08-26,Verona,Roma,0.904,2.004,2,1,0.904461,2.00413,17.105263157894736,5.0
2023-08-27,Fiorentina,Lecce,1.51,0.494,2,2,1.51003,0.494028,5.769230769230769,9.466666666666667
2023-08-27,Juventus,Bologna,0.916,0.687,1,1,0.915803,0.687398,10.363636363636363,19.642857142857142
2023-08-27,Lazio,Genoa,0.938,0.695,0,1,0.937895,0.69511,7.7272727272727275,26.357142857142858
2023-08-27,Napoli,Sassuolo,3.535,0.146,2,0,2.0123,0.145568,7.391304347826087,30.5
2023-08-28,Salernitana,Udinese,0.559,0.548,1,1,0.559371,0.548425,9.0,7.533333333333333
2023-08-28,Cagliari,Inter,0.484,1.254,0,2,0.484344,1.25423,40.0,7.545454545454546
2023-09-01,Sassuolo,Verona,2.621,0.555,3,1,1.86009,0.555465,22.846153846153847,7.818181818181818
2023-09-01,Roma,AC Milan,0.412,1.629,1,2,0.412392,0.867431,16.28,12.764705882352942
