date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2024-08-17,Genoa,Inter,2.313,2.007,2,2
2024-08-17,Parma Calcio 1913,Fiorentina,1.838,0.813,1,1
2024-08-17,Empoli,Monza,0.579,0.328,0,0
2024-08-17,AC Milan,Torino,2.1,0.877,2,2
2024-08-18,Verona,Napoli,1.805,0.975,3,0
2024-08-18,Bologna,Udinese,3.31,0.945,1,1
2024-08-18,Cagliari,Roma,1.306,1.296,0,0
2024-08-18,Lazio,Venezia,2.332,0.79,3,1
2024-08-19,Lecce,Atalanta,1.884,2.459,0,4
2024-08-19,Juventus,Como,1.306,0.171,3,0
2024-08-24,Parma Calcio 1913,AC Milan,2.463,2.098,2,1
2024-08-24,Udinese,Lazio,1.116,1.683,2,1
2024-08-24,Monza,Genoa,0.401,0.66,0,1
2024-08-24,Inter,Lecce,2.481,0.335,2,0
2024-08-25,Fiorentina,Venezia,0.66,1.013,0,0
2024-08-25,Torino,Atalanta,2.499,3.087,2,1
2024-08-25,Napoli,Bologna,2.071,0.545,3,0
2024-08-25,Roma,Empoli,2.042,3.077,1,2
2024-08-26,Cagliari,Como,1.035,2.09,1,1
2024-08-26,Verona,Juventus,0.879,1.362,0,3
2024-08-30,Venezia,Torino,0.636,1.809,0,1
2024-08-30,Inter,Atalanta,2.289,1.178,4,0
2024-08-31,Lecce,Cagliari,2.341,2.093,1,0
2024-08-31,Bologna,Empoli,1.359,1.114,1,1
2024-08-31,Napoli,Parma Calcio 1913,2.335,1.902,2,1
2024-08-31,Lazio,AC Milan,2.33,1.342,2,2
2024-09-01,Fiorentina,Monza,2.415,0.49,2,2
2024-09-01,Genoa,Verona,1.347,2.097,0,2
2024-09-01,Juventus,Roma,0.415,0.383,0,0
2024-09-01,Udinese,Como,1.185,1.657,1,0
2024-09-14,Como,Bologna,1.458,1.151,2,2
2024-09-14,Empoli,Juventus,0.601,0.726,0,0
2024-09-14,AC Milan,Venezia,2.189,0.263,4,0
2024-09-15,Genoa,Roma,1.596,2.658,1,1
2024-09-15,Atalanta,Fiorentina,2.451,1.964,3,2
2024-09-15,Torino,Lecce,0.447,1.662,0,0
2024-09-15,Cagliari,Napoli,0.882,1.428,0,4
2024-09-15,Monza,Inter,0.218,1.808,1,1
2024-09-16,Parma Calcio 1913,Udinese,0.88,3.088,2,3
2024-09-16,Lazio,Verona,1.792,0.533,2,1
2024-09-20,Cagliari,Empoli,1.687,1.027,0,2
2024-09-20,Verona,Torino,0.778,1.967,2,3
2024-09-21,Venezia,Genoa,2.335,0.389,2,0
2024-09-21,Juventus,Napoli,0.419,0.234,0,0
2024-09-21,Lecce,Parma Calcio 1913,1.259,2.054,2,2
2024-09-22,Fiorentina,Lazio,2.856,1.145,2,1
2024-09-22,Monza,Bologna,0.707,1.453,1,2
2024-09-22,Roma,Udinese,2.566,0.525,3,0
2024-09-22,Inter,AC Milan,0.941,2.758,1,2
2024-09-24,Atalanta,Como,1.317,0.58,2,3
2024-09-27,AC Milan,Lecce,2.433,0.462,3,0
2024-09-28,Udinese,Inter,0.985,2.305,2,3
2024-09-28,Genoa,Juventus,0.385,2.918,0,3
2024-09-28,Bologna,Atalanta,0.176,2.478,1,1
2024-09-29,Torino,Lazio,0.495,2.247,2,3
2024-09-29,Como,Verona,2.475,1.554,3,2
2024-09-29,Roma,Venezia,1.99,2.028,2,1
2024-09-29,Empoli,Fiorentina,0.448,1.254,0,0
2024-09-29,Napoli,Monza,1.359,0.298,2,0
2024-09-30,Parma Calcio 1913,Cagliari,2.986,3.057,2,3
